"CODIGO
ALMACEN","NOMBRE
 CONTENEDOR",CIUDAD,PROYECTO/OBRA,"UNIDAD
 DE NEGOCIO",FAMILIA,SUBFAMILIA,IMPORTANCIA,"CODIGO
 ARTICULO","NOMBRE
 ARTICULO","NOMBRE ARTICULO
 PROVEEDOR",PROVEEDOR,"CODIGO ARTICULO
 PROVEEDOR",PRECIO PROVEEDOR,"COSTE
SOLUCIONES",PRECIO VENTA SOLUCIONES,IMPUTACIÓN TRANSPORTE,% IMPUTACIÓN TRANSPORTE,PRECIO VENTA + ENVÍO SOLUCIONES,TIPO DE CAMBIO EURO-DÓLAR,COSTE COMPRA DE SAEMA,COSTE DE SAEMA,"PRECIO 
UNITARIO","PRECIO 
COMPETENCIA",UNIDAD METRICA,"UD 
STOCK",CANTIDAD PENDIENTE DE SERVIR,"Calificación valor A, B o C","FACTOR
 MODIFICADOR
 VALOR","VALOR STOCK
DDP",ORIGEN DATOS,COSTE CONTENEDOR,COSTE FLETE,COSTE SEGURO,VOLUMEN (m3),UNIDAD MEDIDA VOLUMEN,% VOLUMEN UNITARIO,VOLUMEN BULTO(m3),UNIDADES POR BULTO,VOLUMEN TOTAL CARGA ENVIO (m3),COSTE ENVIO DE CADA m3
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,DEPOSITOS,A,0000000530,Interacumulador horizontal 150l Galvanizado,,,,,,315 €,"59,74 €","18,99%","374,24 €","1,40",524 USD,629 USD,"785,89 USD",,UNIDAD,88,,,1,55.327 USD,FRA. 9.076.08,3.360 €,12.934 €,782 €,"0,410",m3,"0,350%","36,110",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,CAPTADORES,A,0000000531,Captador solar plano QRD CR10ALDP8 1900x1090mm,,,,,,231 €,"33,98 €","14,71%","264,98 €","1,40",371 USD,445 USD,"556,46 USD",,UNIDAD,88,,,1,39.174 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,233",m3,"0,199%","20,540",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ESTRUCTURAS,A,0000000581,Estructura EQ P. Alto Termosifón 150l 30º,,,,,,"148,61 €","2,55 €","1,71%","151,16 €","1,40",212 USD,254 USD,"317,43 USD",,UNIDAD,88,,,1,22.347 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,018",m3,"0,015%","1,540",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000583,Kit sistema indirecto perfil alto 150/200l,,,,,,"58,75 €","4,42 €","7,52%","63,17 €","1,40",88 USD,106 USD,"132,65 USD",,UNIDAD,88,,,1,9.339 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,026%","2,670",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000584,Ramal aislado equipo 150l  P. Alto- Corto,,,,,,"13,25 €","4,42 €","33,34%","17,67 €","1,40",25 USD,30 USD,"37,10 USD",,UNIDAD,88,,,1,2.612 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,026%","2,670",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000585,Ramal aislado equipo 150l  P. Alto- Largo,,,,,,"25,92 €","4,42 €","17,04%","30,34 €","1,40",42 USD,51 USD,"63,71 USD",,UNIDAD,88,,,1,4.485 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,026%","2,670",88,"117,30","145,58 €"
2,SEAU - 861296 - 3,LAD,SAEMA-STOCKS,OTROS,OTROS,OTROS,C,0000000597,Casa Z Dra Maria Jose,,,,,"12.500,00 €",15.625 €,,,17.904 €,"1,40",25.066 USD,30.079 USD,37.599 USD,,,1,,,1,30.079 USD,,,,,,,,,,,
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,CAPTADORES,A,0000000586,Captador solar plano PA-E  (CR10S8),,,,,,333 €,"38,83 €","11,66%","371,76 €","1,40",520 USD,625 USD,"780,69 USD",,UNIDAD,70,,,1,43.719 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,267",m3,"0,227%","18,670",70,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,DEPOSITOS,A,0000000587,Interacumulador vertical 200l Galvanizado,,,,,,423 €,"76,18 €","18,00%",500 €,"1,40",699 USD,839 USD,1.049 USD,,UNIDAD,18,,,1,15.106 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,523",m3,"0,446%","9,420",18,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,DEPOSITOS,A,0000000588,Interacumulador vertical 300l Galvanizado,,,,,,539 €,"105,36 €","19,56%",644 €,"1,40",901 USD,1.082 USD,1.352 USD,,UNIDAD,24,,,1,25.963 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,724",m3,"0,617%","17,370",24,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000589,Estación solar Chromagen 1 Via,,,,,,287 €,"6,31 €","2,20%","293,16 €","1,40",410 USD,493 USD,"615,63 USD",,UNIDAD,42,,,1,20.685 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,043",m3,"0,037%","1,820",42,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ESTRUCTURAS,A,0000000590,Estructura 1 captador cubierta plana 30º,,,,,,"104,83 €","4,53 €","4,32%","109,36 €","1,40",153 USD,184 USD,"229,65 USD",,UNIDAD,18,,,1,3.307 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,031",m3,"0,027%","0,560",18,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ESTRUCTURAS,A,0000000591,Estructura 2 captador cubierta plana 30º,,,,,,"120,96 €","3,52 €","2,91%","124,48 €","1,40",174 USD,209 USD,"261,40 USD",,UNIDAD,24,,,1,5.019 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,024",m3,"0,021%","0,580",24,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000592,Kit sistema forzado 150/200l,,,,,,"71,42 €","4,30 €","6,02%","75,72 €","1,40",106 USD,127 USD,"159,02 USD",,UNIDAD,18,,,1,2.290 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,025%","0,532",18,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000593,Kit sistema forzado 300l,,,,,,"81,79 €","3,23 €","3,95%","85,02 €","1,40",119 USD,143 USD,"178,54 USD",,UNIDAD,24,,,1,3.428 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,022",m3,"0,019%","0,532",24,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000594,"Mezclador termostático para solar 1/2"" ",,,,,,"97,92 €","1,84 €","1,88%","99,76 €","1,40",140 USD,168 USD,"209,50 USD",,UNIDAD,42,,,1,7.039 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,013",m3,"0,011%","0,532",42,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000595,Set conexión para vaso expansión,,,,,,"34,56 €","1,84 €","5,34%","36,40 €","1,40",51 USD,61 USD,"76,45 USD",,UNIDAD,42,,,1,2.569 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,013",m3,"0,011%","0,532",42,"117,30","145,58 €"
